applicant_id,team_applied_for,cover_letter,cv,gpa,gender,extracurriculars,work_experience,technical_skills,writing_skills,leadership_presence,speaking_skills
1030,Data,1,1,2.4,Woman,2,0,56,16,5,2
1070,Software,1,1,3.4,Woman,1,1,80,37,1,3
1080,Data,1,1,2.6,Man,1,1,89,48,0,4
1090,Data,1,1,3.7,Man,2,1,54,60,3,1
1120,Software,1,1,3.8,Woman,2,1,19,51,4,8
1140,Data,1,1,3.3,Woman,1,1,24,25,5,2
1150,Software,1,1,3.2,Man,1,1,20,18,8,5
1170,Software,1,1,2.9,Man,1,1,50,55,7,7
1180,Software,1,1,3.2,Man,1,1,82,34,9,2
1230,Software,1,1,2.8,Man,2,1,20,49,3,8
1270,Data,1,1,2.2,Woman,1,1,38,44,6,3
1280,Software,1,1,2.9,Man,1,2,37,44,7,3
1290,Software,1,1,3,Woman,2,1,11,29,4,4
1300,Software,1,1,3.2,Woman,2,2,71,50,5,4
1310,Data,1,1,2.3,Man,2,0,31,16,4,3
1340,Software,1,1,3,Woman,2,1,42,62,7,3
1360,Software,1,1,4,Woman,1,2,22,78,3,4
1370,Software,1,1,3,Man,2,0,63,50,7,9
1380,Software,1,1,2.3,Woman,1,1,70,50,4,2
1410,Software,1,1,2.8,Man,1,1,43,63,4,4
1440,Software,1,1,3,Woman,2,1,57,73,6,2
1460,Software,1,1,3,Woman,1,1,66,57,0,3
1470,Data,1,1,2.7,Man,1,1,49,20,7,4
1480,Data,1,1,3.2,Woman,2,1,31,61,4,3
1490,Software,1,1,2.5,Man,2,1,2,41,8,8
1520,Data,1,1,3.6,Man,1,1,52,35,1,9
1530,Software,1,1,3,Woman,2,1,20,17,5,4
1540,Data,1,1,2.8,Woman,2,1,38,54,9,2
1550,Software,1,1,3.4,Woman,2,2,69,20,9,1
1600,Data,1,1,3.1,Woman,2,2,72,59,6,8
1610,Data,1,1,3.5,Woman,1,1,57,20,2,3
1620,Data,1,1,2.1,Man,1,1,45,55,7,8
1650,Software,1,1,2.2,Woman,1,1,70,59,3,5
1660,Data,1,1,2.9,Woman,1,1,76,49,3,2
1670,Software,1,1,2.7,Man,1,1,50,67,6,4
1690,Software,1,1,2.6,Woman,1,1,67,57,3,4
1740,Software,1,1,3.1,Man,1,1,8,40,6,7
1750,Software,1,1,3.4,Woman,2,2,63,46,4,2
1770,Software,1,1,3,Man,1,1,0,53,6,2
1780,Data,1,1,3.1,Woman,2,2,17,63,7,8
1800,Data,1,1,2.1,Man,1,1,31,10,9,4
1810,Software,1,1,3.8,Woman,2,1,48,34,6,3
1820,Data,1,1,3.3,Man,1,1,58,29,3,3
1830,Data,1,1,3.2,Woman,1,1,84,67,3,2
1840,Data,1,1,2.1,Man,1,1,72,33,4,8
1900,Software,1,1,3.3,Man,1,1,75,29,2,6
1920,Software,1,1,2.4,Woman,1,1,29,25,4,5
1950,Software,1,1,2.4,Man,1,1,32,20,5,7
1970,Software,1,1,3.2,Woman,1,1,50,20,3,5
1980,Data,1,1,2.5,Woman,2,1,15,47,2,1
1990,Data,1,1,2.7,Man,2,1,68,60,6,3
2020,Software,1,1,3.5,Man,2,2,30,31,6,3
2040,Data,1,1,3.6,Man,2,2,30,72,4,9
2090,Data,1,1,3.4,Woman,1,1,66,22,2,4
2120,Software,1,1,2.4,Prefer not to say,2,1,67,41,1,6
2160,Software,1,1,3.5,Woman,2,2,43,31,6,3
2170,Software,1,1,2.4,Woman,1,1,30,33,4,3
2180,Software,1,1,2.8,Woman,1,1,53,57,1,2
2210,Software,1,1,3.4,Man,1,1,19,45,2,2
2260,Software,1,1,3.9,Woman,2,1,77,17,6,3
2280,Software,1,1,2.3,Man,1,1,28,37,5,4
2290,Software,1,1,2.5,Woman,1,1,34,44,3,4
2300,Data,1,1,3,Man,2,1,85,71,9,5
2360,Software,1,1,3.1,Woman,1,1,77,51,3,2
2390,Software,1,1,3.3,Man,2,2,50,41,4,5
2400,Software,1,1,2.8,Man,2,1,40,40,5,6
2420,Data,1,1,2.9,Woman,1,1,10,62,4,9
2430,Software,1,1,2.6,Woman,1,1,50,37,7,4
2460,Data,1,1,2.8,Woman,2,1,30,45,6,2
2470,Software,1,1,3.4,Woman,1,2,62,28,3,3
2490,Software,1,1,3,Man,2,0,37,33,5,4
2500,Software,1,1,2.9,Man,1,1,22,37,9,7
2520,Data,1,1,3.1,Woman,1,1,35,42,1,2
2540,Data,1,1,2.3,Man,2,1,26,3,2,9
2570,Data,1,1,2.9,Man,1,1,56,17,7,9
2580,Software,1,1,3,Woman,1,1,59,40,2,2
2590,Software,1,1,3.6,Man,2,1,58,17,0,1
2600,Software,1,1,2.7,Man,1,1,20,27,6,4
2660,Software,1,1,3,Woman,1,1,14,30,4,1
2700,Software,1,1,3.1,Man,2,2,33,33,6,3
2720,Software,1,1,2.9,Man,1,1,69,23,2,3
2760,Data,1,1,2.5,Man,1,1,38,34,4,1
2860,Data,1,1,3.2,Man,1,2,62,47,3,9
2870,Data,1,1,4,Woman,1,1,27,62,4,1
2880,Data,1,1,2.4,Woman,1,1,18,23,0,2
2910,Data,1,1,3.3,Woman,1,2,37,78,3,3
2950,Data,1,1,3.3,Woman,1,1,48,63,1,2
2970,Software,1,1,2.6,Man,1,1,10,28,4,7
2980,Software,1,1,2.5,Woman,1,1,11,14,4,3
3010,Data,1,1,2.2,Man,1,1,18,3,7,8
3030,Data,1,1,3.7,Man,2,1,44,63,3,8
3040,Software,1,1,2.9,Man,2,1,62,14,3,3
3060,Data,1,1,3.8,Man,1,1,89,57,5,7
3090,Data,1,1,3.4,Man,1,2,19,69,6,4
3130,Data,1,1,2.3,Woman,1,1,51,46,3,2
3150,Data,1,1,2.2,Man,1,1,19,46,5,5
3160,Data,1,1,2.4,Man,1,1,0,37,1,6
3170,Software,1,1,2.9,Woman,1,2,46,65,4,8
3180,Software,1,1,3.5,Woman,1,1,71,38,2,5
3190,Data,1,1,3.8,Man,1,2,44,78,7,6
3200,Software,1,1,3.6,Woman,2,2,66,27,5,7
3220,Software,1,1,3.1,Woman,2,1,47,45,1,1
3230,Data,1,1,3.2,Man,2,1,67,20,9,9
3250,Data,1,1,3.8,Man,1,1,48,72,1,2
3260,Software,1,1,2.7,Woman,2,0,52,50,5,4
3280,Software,1,1,3.6,Woman,2,1,30,71,4,6
3300,Software,1,1,3.5,Woman,2,2,33,50,0,3
3310,Software,1,1,3.1,Woman,2,1,65,54,4,3
3320,Data,1,1,2.6,Woman,1,1,75,79,3,4
3360,Software,1,1,2.8,Man,1,1,35,46,7,9
3390,Data,1,1,3.9,Man,2,2,35,72,10,6
3400,Software,1,1,2.8,Woman,2,1,9,48,2,1
3440,Data,1,1,3.2,Man,2,1,62,60,4,8
3470,Software,1,1,2.3,Woman,1,1,56,37,1,9
3480,Software,1,1,3.8,Woman,1,2,45,77,4,2
3490,Software,1,1,2,Woman,1,1,29,50,4,2
3500,Data,1,1,3.2,Woman,2,1,46,54,5,1
3540,Software,1,1,3.8,Woman,2,2,50,29,5,5
3560,Software,1,1,3.7,Man,2,2,100,42,5,5
3570,Software,1,1,3.4,Man,2,1,93,45,2,5
3580,Software,1,1,3.5,Woman,1,2,52,32,3,7
3590,Data,1,1,2,Woman,2,0,45,58,1,0
3620,Software,1,1,2.2,Man,1,1,27,9,5,3
3640,Software,1,1,3.3,Man,1,1,69,40,7,5
3670,Data,1,1,3.4,Woman,2,1,14,31,5,2
3680,Software,1,1,3.1,Man,2,1,46,63,1,7
3690,Software,1,1,2,Man,2,1,34,0,2,8
3700,Data,1,1,4,Woman,1,2,79,89,0,4
3720,Software,1,1,2,Woman,1,1,43,53,3,4
3760,Data,1,1,3,Woman,1,1,22,63,4,2
3790,Data,1,1,3.8,Man,1,1,20,38,6,2
3800,Software,1,1,3.2,Woman,1,1,25,33,2,2
3810,Software,1,1,3.1,Woman,2,2,72,31,2,4
3830,Software,1,1,2.7,Woman,2,1,63,68,5,4
3840,Data,1,1,4,Woman,1,1,93,87,3,0
3850,Software,1,1,4,Woman,1,2,22,68,5,1
3860,Data,1,1,2.6,Man,2,1,11,23,4,7
3870,Software,1,1,3.3,Woman,1,1,73,64,2,1
3890,Data,1,1,3.6,Man,1,1,47,32,0,2
3900,Software,1,1,2.6,Man,2,1,63,36,2,7
3910,Data,1,1,4,Man,2,2,72,21,6,10
3920,Software,1,1,3.5,Woman,2,1,65,50,8,7
3940,Software,1,1,2.8,Man,1,1,38,11,4,9
3950,Data,1,1,2.4,Prefer not to say,1,1,52,31,9,5
3970,Data,1,1,2.6,Woman,2,0,40,49,6,2
4000,Software,1,1,3.4,Woman,2,1,68,45,4,4
4040,Software,1,1,3.4,Woman,2,2,40,50,2,2
4070,Software,1,1,2.8,Woman,2,1,54,65,2,1
4090,Data,1,1,2.8,Man,2,1,32,38,6,2
4100,Software,1,1,3.2,Man,1,1,24,59,2,9
4110,Data,1,1,2.4,Woman,2,1,27,23,5,4
4120,Software,1,1,3.6,Man,2,1,31,49,9,5
4130,Software,1,1,3.8,Man,1,1,46,30,7,4
4190,Software,1,1,3,Man,1,1,38,65,7,2
4210,Data,1,1,3.3,Woman,1,1,55,30,1,2
4230,Data,1,1,3.2,Woman,2,1,16,57,8,2
4290,Data,1,1,2.1,Man,1,1,57,41,9,5
4300,Data,1,1,2,Man,1,1,33,35,3,2
4310,Software,1,1,2.1,Man,1,1,22,5,9,9
4330,Software,1,1,3.3,Man,1,1,70,67,4,2
4360,Data,1,1,3.6,Woman,1,1,24,39,5,2
4370,Data,1,1,3.3,Woman,1,1,41,61,5,5
4400,Data,1,1,2.9,Man,2,1,52,53,2,9
4410,Data,1,1,3.6,Woman,1,1,36,44,4,3
4430,Data,1,1,3.2,Man,1,1,45,63,1,5
4460,Data,1,1,3.9,Man,2,1,80,76,6,2
4470,Software,1,1,3.8,Woman,2,1,65,31,3,4
4480,Data,1,1,2,Woman,1,1,48,55,3,2
4490,Data,1,1,3.9,Man,2,1,75,52,5,8
4500,Data,1,1,3.7,Man,1,2,49,46,3,6
4520,Software,1,1,2.8,Man,1,1,34,59,2,7
4530,Data,1,1,2.7,Woman,2,1,37,40,6,1
4570,Software,1,1,2.3,Woman,2,0,34,5,9,2
4580,Software,1,1,3.4,Man,1,1,87,43,8,2
4590,Data,1,1,3.8,Man,2,2,85,18,6,7
4600,Software,1,1,2.3,Woman,2,0,43,2,4,1
4610,Software,1,1,3.6,Man,1,1,42,57,6,6
4630,Software,1,1,3.4,Woman,2,1,33,24,7,6
4660,Data,1,1,3.6,Woman,1,2,39,14,5,1
4690,Software,1,1,3.5,Man,1,1,56,42,8,4
4710,Data,1,1,2.5,Man,1,1,74,49,5,3
4740,Software,1,1,2.1,Woman,1,1,17,25,2,2
4760,Software,1,1,2.2,Woman,1,1,15,13,3,2
4800,Software,1,1,3.4,Man,2,1,42,29,4,9
4810,Data,1,1,3.9,Woman,2,1,87,77,7,4
4830,Data,1,1,3.6,Woman,2,1,83,16,6,3
4870,Software,1,1,2.9,Woman,1,1,12,34,3,2
4880,Software,1,1,3,Woman,2,2,66,60,6,3
4900,Software,1,1,3.7,Man,1,2,40,41,5,4
4950,Software,1,1,3.9,Man,1,1,34,52,10,4
4960,Software,1,1,3.8,Woman,2,1,51,75,6,5
4990,Software,1,1,2.8,Woman,2,1,66,40,0,3
5010,Data,1,1,3.3,Man,2,1,55,62,0,7
5030,Software,1,1,3.3,Man,2,2,23,71,7,4
5060,Software,1,1,2.3,Man,1,1,59,6,6,1
5110,Software,1,1,3.3,Man,1,1,43,39,6,7
5120,Software,1,1,3.5,Man,2,1,20,26,9,9
5130,Software,1,1,3.3,Woman,2,2,65,53,7,6
5140,Software,1,1,2.5,Man,1,1,12,54,3,6
5170,Data,1,1,3.2,Man,2,1,62,46,7,4
5190,Software,1,1,3.1,Man,2,1,27,26,7,3
5240,Software,1,1,2.4,Man,1,1,19,42,6,2
5260,Software,1,1,2.6,Man,1,1,65,41,7,6
5270,Software,1,1,3,Man,2,1,63,63,6,5
5290,Data,1,1,3.9,Man,2,1,80,53,9,5
5300,Software,1,1,3.9,Woman,1,1,37,69,5,3
5310,Data,1,1,3.8,Woman,1,1,24,69,3,2
5330,Data,1,1,2.7,Man,1,1,10,33,2,4
5350,Software,1,1,3.2,Man,1,1,43,31,6,5
5360,Software,1,1,3.1,Woman,2,1,66,70,4,8
5370,Data,1,1,3.6,Woman,1,2,43,83,4,10
5380,Data,1,1,3.9,Man,1,1,23,63,6,6
5390,Software,1,1,2.9,Woman,1,1,7,42,2,6
5400,Software,1,1,2.8,Woman,1,2,55,41,1,2
5410,Software,1,1,3.9,Woman,2,2,89,50,5,6
5420,Data,1,1,3.7,Man,1,2,46,65,5,4
5450,Software,1,1,3.4,Man,2,1,70,75,1,7
5460,Data,1,1,3.8,Woman,2,1,27,49,3,3
5500,Data,1,1,2.5,Woman,2,1,70,36,5,4
5540,Software,1,1,2.9,Woman,1,1,85,63,4,4
5560,Data,1,1,3.9,Woman,1,1,37,28,7,3
5570,Software,1,1,3.9,Woman,2,1,63,25,6,2
5580,Data,1,1,4,Woman,1,2,46,78,2,4
5590,Software,1,1,3.3,Woman,1,1,29,27,4,2
5620,Software,1,1,3.2,Woman,1,1,47,38,3,4
5630,Data,1,1,3.2,Prefer not to say,1,1,79,55,3,9
5640,Data,1,1,3.8,Woman,2,1,71,57,9,5
5740,Data,1,1,3.8,Woman,2,1,70,49,6,4
5750,Software,1,1,3.8,Man,1,2,61,75,7,1
5760,Data,1,1,3.4,Woman,1,2,73,22,6,9
5770,Software,1,1,3.9,Man,1,2,70,64,6,7
5790,Data,1,1,3.1,Man,1,1,57,35,1,5
5880,Data,1,1,3.7,Woman,1,2,51,27,4,2
5900,Software,1,1,3.2,Woman,2,1,50,45,4,6
5940,Software,1,1,2.5,Woman,1,1,17,17,9,1
5960,Software,1,1,3.6,Woman,1,1,36,71,5,1
5980,Data,1,1,3.8,Woman,2,1,95,41,5,4
5990,Data,1,1,3.7,Woman,1,1,83,63,5,3
6010,Software,1,1,2.8,Woman,1,1,74,53,4,5
6040,Software,1,1,2.8,Woman,2,1,58,20,3,1
6100,Data,1,1,2.7,Woman,1,1,40,47,4,1
6110,Data,1,1,3,Woman,1,1,57,56,3,5
6120,Data,1,1,3.4,Man,1,2,35,61,4,7
6130,Data,1,1,3,Man,2,1,90,18,4,6
6140,Software,1,1,3.8,Woman,1,1,27,52,0,1
6170,Data,1,1,2.9,Man,1,1,39,14,4,5
6190,Data,1,1,3.1,Man,1,1,78,48,2,5
6200,Data,1,1,2.4,Woman,1,1,57,46,4,3
6230,Data,1,1,3.9,Woman,1,1,45,54,3,3
6330,Software,1,1,3,Man,1,1,59,52,2,9
6340,Data,1,1,2.2,Man,1,1,62,33,4,3
6350,Software,1,1,3.2,Man,1,1,32,39,1,1
6360,Software,1,1,3.8,Man,2,1,37,59,4,5
6380,Software,1,1,3.5,Woman,2,2,48,61,3,4
6390,Software,1,1,3.5,Man,2,2,68,61,1,3
6410,Software,1,1,2.9,Woman,1,1,3,27,5,1
6420,Software,1,1,2.8,Woman,2,1,42,23,5,2
6440,Software,1,1,2.2,Man,1,1,10,53,3,6
6450,Software,1,1,2.4,Man,1,1,36,25,3,6
6460,Software,1,1,3.5,Man,2,1,42,25,9,2
6480,Data,1,1,2.8,Man,1,1,67,38,4,9
6490,Data,1,1,3.4,Man,1,1,45,44,3,6
6520,Data,1,1,3.2,Woman,1,1,83,16,5,1
6540,Data,1,1,2.9,Man,1,1,44,32,5,2
6560,Software,1,1,2.6,Woman,1,1,41,69,2,2
6570,Software,1,1,3.8,Man,2,1,50,44,1,3
6580,Software,1,1,3.9,Woman,2,1,87,78,6,2
6590,Software,1,1,3.2,Woman,2,1,54,45,8,2
6600,Data,1,1,2.2,Man,1,1,25,61,5,3
6620,Data,1,1,2.3,Man,1,1,11,20,7,6
6630,Software,1,1,3.6,Man,2,1,44,62,10,7
6670,Software,1,1,2.3,Man,1,1,58,37,1,7
6680,Software,1,1,3.5,Woman,1,1,17,100,5,3
6690,Data,1,1,3.7,Man,1,1,21,27,4,3
6720,Software,1,1,2.5,Woman,2,1,35,52,6,7
6730,Software,1,1,3.2,Man,2,1,87,59,3,3
6750,Software,1,1,2.7,Woman,1,1,68,38,7,3
6760,Data,1,1,3.8,Woman,1,1,60,27,3,3
6770,Data,1,1,2.9,Woman,1,1,48,11,1,4
6780,Data,1,1,3.8,Woman,1,2,72,70,4,5
6790,Data,1,1,3.4,Man,2,2,39,65,8,3
6800,Data,1,1,3.1,Man,2,1,73,47,4,1
6810,Software,1,1,3.5,Man,2,2,55,38,7,5
6820,Software,1,1,3.8,Woman,2,1,34,72,4,2
6840,Software,1,1,2,Woman,1,1,60,38,2,7
6860,Data,1,1,3.6,Woman,1,2,17,68,6,6
6870,Software,1,1,3.5,Man,2,1,25,32,5,3
6900,Software,1,1,3.1,Man,1,1,67,34,0,3
6930,Data,1,1,3.8,Woman,1,2,42,42,7,3
6970,Data,1,1,3.2,Woman,1,1,50,27,5,1
7000,Data,1,1,2.5,Man,1,1,51,34,6,5
7020,Software,1,1,2.9,Man,1,1,38,63,6,3
7030,Data,1,1,3.9,Man,1,1,63,23,9,6
7040,Data,1,1,2.4,Man,1,1,58,23,8,3
7060,Software,1,1,2.9,Man,1,1,42,16,5,4
7080,Data,1,1,2.4,Woman,1,1,59,46,1,0
7100,Data,1,1,3.9,Man,2,1,90,35,3,8
7110,Software,1,1,3.8,Man,2,1,27,50,7,3
7120,Data,1,1,3.4,Man,1,1,65,54,5,2
7130,Data,1,1,3.4,Man,1,2,30,31,6,5
